"obj_ID","alpha","delta","u","g","r","i","z","run_ID","rerun_ID","cam_col","field_ID","spec_obj_ID","redshift","plate","MJD","fiber_ID"
1237680241455726592,12.2725745472949,-8.26055809287959,19.3772,17.42771,16.41689,16.00279,15.66193,8095,301,2,381,8055928843641575424,0.1137839,7155,56629,418
1237668354036072704,258.744724489292,42.5670630294896,20.25485,18.3574,17.99783,17.98551,17.71192,5327,301,4,16,2540150925981490176,-0.0002688238,2256,53859,439
1237657589775860224,147.179417265419,47.7800848170504,22.10328,21.92555,21.69067,21.98162,21.30083,2821,301,2,40,8218039739485542400,2.355197,7299,56686,350
